"returns","datetime","v","vw","o","c","h","l","t","n","ema_fast","ema_slow","rsi","dn","mavg","up","atr","macd","signal"
-2.65504200775167e-05,"2023-10-27 08:00:00",1208.16666666667,167.399819444444,167.396388888889,167.391944444444,167.408611111111,167.384166666667,1698395205000,23.3055555555556,168.255411628874,170.3593435704,38.2667938221676,165.148979904242,168.356793111068,171.564606317895,0.537345137536131,-1.23499650646191,-1.12744252400381
-6.63683042687746e-06,"2023-10-27 09:00:00",1400.74074074074,167.413437037037,167.415925925926,167.414814814815,167.421851851852,167.403703703704,1698398800000,26.4814814814815,168.178993736687,170.254181829129,38.4132323424883,165.203236198739,168.179285310309,171.15533442188,0.513181436101431,-1.2188764294347,-1.14572930508999
-0.000116018661425969,"2023-10-27 10:00:00",1266.47058823529,167.306458823529,167.315882352941,167.296470588235,167.318823529412,167.293529411765,1698403207058.82,43.6470588235294,168.098764359555,170.148549284811,37.9244461569781,165.21841214227,168.027314890141,170.836217638013,0.494519720241844,-1.20470314549984,-1.15752407317196
-9.85812296009342e-05,"2023-10-27 11:00:00",2169.62222222222,166.805397777778,166.811111111111,166.794666666667,166.817555555556,166.785777777778,1.698406e+12,44.6444444444444,167.980210023838,170.028767762735,35.8911452221018,165.143080264807,167.886290317492,170.629500370177,0.49528986739497,-1.20483008014008,-1.16698527456558
-6.16665895403338e-05,"2023-10-27 12:00:00",5955.29310344828,166.685739655172,166.691727586207,166.681448275862,166.744225862069,166.611367241379,1698409810344.83,111.362068965517,167.862140774022,169.909220638203,35.4409918511198,165.066275578351,167.749495800999,170.432716023647,0.480433179675559,-1.20480798893235,-1.17454981743894
8.91710483709585e-05,"2023-10-27 13:00:00",131357.7,167.40561,167.393643333333,167.40857,167.51876,167.288015,1698413370000,1871.91666666667,167.820907067292,169.819911686839,40.475407438574,165.056337694312,167.665136197824,170.273934701336,0.497427396078529,-1.17713205694805,-1.17506626534076
5.43811685259098e-05,"2023-10-27 14:00:00",134627.616666667,168.112121666667,168.103535,168.112676666667,168.22391,167.983858333333,1698416970000,2841.56666666667,167.847431576326,169.758939007547,44.8483274806013,165.08886413665,167.611568658142,170.134273179633,0.512566091503362,-1.126012828777,-1.16525557802801
-3.84772104879919e-06,"2023-10-27 15:00:00",83351.9166666667,168.497561666667,168.498008333333,168.49736,168.570545,168.419255,1698420570000,940,167.906515978479,169.71388261442,47.0786133531763,165.162520839289,167.558489390742,169.954457942196,0.509961436352409,-1.06494920044232,-1.14519430251087
-9.79954008776782e-05,"2023-10-27 16:00:00",62748.0833333333,167.872565,167.882028333333,167.865576666667,167.940746666667,167.80393,1698424170000,763.866666666667,167.902794222859,169.647871687715,44.0095697264403,165.226441837642,167.486754938739,169.747068039837,0.518698034621341,-1.02864683623499,-1.1218848092557
2.95901406966101e-05,"2023-10-27 17:00:00",102852.916666667,167.339285,167.341775,167.346726666667,167.414945,167.269705,1698427770000,1054.1,167.852242626842,169.565687936963,41.6672958698754,165.418251128549,167.356046353387,169.293841578225,0.522372969480641,-1.01049058389597,-1.09960596418375
-5.28471968686491e-06,"2023-10-27 18:00:00",95563.1333333333,167.777376666667,167.779318333333,167.778431666667,167.853093333333,167.70755,1698431370000,990.066666666667,167.845532539553,169.501857355881,44.2590823454262,165.817491119559,167.232909766086,168.648328412612,0.521610764584738,-0.977172074787647,-1.07511918630453
7.61467832688238e-05,"2023-10-27 19:00:00",154648.466666667,167.829825,167.81186,167.824638333333,167.89731,167.75684,1698434970000,1426.76666666667,167.84363306626,169.441956676504,44.5360345881456,165.921306273205,167.187192094128,168.453077915051,0.503461204366416,-0.943286799559062,-1.04875270895544
-0.000217478708219278,"2023-10-27 20:00:00",111638.377777778,167.995673333333,167.985793333333,167.94926,168.011571111111,167.91698,1698438358666.67,44.6444444444444,167.853235514782,169.388646080915,45.3056110244023,165.909384805305,167.216084863087,168.52278492087,0.488388422147909,-0.906442433809518,-1.02029065392625
-1.10022164211913e-05,"2023-10-27 21:00:00",3618.58823529412,167.902047058824,167.880611764706,167.878764705882,167.889470588235,167.873005882353,1698441765882.35,16.2941176470588,167.855556350337,169.334721746092,44.9352850138758,166.002897985541,167.286264326206,168.569630666871,0.46876297907644,-0.873515709302441,-0.990935665001491
-1.21306411095487e-05,"2023-10-27 22:00:00",674.761904761905,168.012219047619,168.012161904762,168.010123809524,168.014419047619,168.007866666667,1698445908571.43,12.5714285714286,167.869607937536,169.287414676929,45.8020560382687,166.12286889101,167.366403604362,168.609938317713,0.452900663012643,-0.837514555999019,-0.960251443200997
2.28906825461468e-06,"2023-10-27 23:00:00",576.807692307692,168.022007692308,168.022680769231,168.023065384615,168.024603846154,168.021142307692,1698449439230.77,14.5769230769231,167.883558614543,169.242259345061,45.8901656834962,166.136107297317,167.406865136718,168.677622976119,0.432023490327757,-0.80281410551718,-0.928763975664233
2.85078341722452e-05,"2023-10-30 08:00:00",1061,168.889796296296,168.894444444444,168.899259259259,168.914074074074,168.878888888889,1698654155555.56,24.037037037037,167.97589503679,169.230009341997,51.495772220271,166.072136677318,167.48767895506,168.903221232802,0.453879928381612,-0.741070871580696,-0.891225354847526
-9.3332628154806e-06,"2023-10-30 09:00:00",921.210526315789,169.177205263158,169.174210526316,169.172631578947,169.183684210526,169.163684210526,1698657896842.11,20,168.084689267895,169.227960136173,53.0878893112556,166.045678886711,167.599174972883,169.152671059055,0.44581064375711,-0.67558036352765,-0.848096356583551
-3.09826863115874e-05,"2023-10-30 10:00:00",2257.66666666667,169.061852380952,169.065238095238,169.06,169.072857142857,169.054285714286,1698661897142.86,29.5714285714286,168.173353879905,169.221961559881,52.3445926743102,166.313977702424,167.756286118584,169.198594534744,0.430217082847802,-0.619664061514791,-0.802409897569799
3.82455713366479e-05,"2023-10-30 11:00:00",1293.20588235294,169.187629411765,169.185294117647,169.191764705882,169.197352941176,169.181176470588,1698665244705.88,28.3235294117647,168.265936682266,169.22088310081,53.1503445659243,166.429812689859,167.883652910818,169.337493131777,0.416271171339643,-0.564319486487408,-0.754791815353321
-3.82694321446757e-05,"2023-10-30 12:00:00",4615.78181818182,168.738969090909,168.755621818182,168.749163636364,168.78314,168.713349090909,1698668983636.36,90.8545454545455,168.309866405366,169.20403597708,50.159167457998,166.535060611604,167.96963470014,169.404208788676,0.41923043056029,-0.528456408590094,-0.709524734000676
0.000196573086023783,"2023-10-30 13:00:00",125741.516666667,169.57786,169.563735,169.597066666667,169.676483333333,169.481315,1698672570000,1952.51666666667,168.426884610939,169.218072787422,55.227555716702,166.509127404268,168.073922680739,169.63871795721,0.443425157532167,-0.467555364182337,-0.661130860037008
-0.0001184147059353,"2023-10-30 14:00:00",144917.033333333,169.913763333333,169.925403333333,169.905281666667,170.022363333333,169.81122,1698676170000,3356.68333333333,168.561284343278,169.242615961681,56.9003970097451,166.474508995017,168.192946405019,169.911383815021,0.442561896062381,-0.402576865485027,-0.609420061126612
4.48964409861228e-05,"2023-10-30 15:00:00",78581.3,169.836591666667,169.835288333333,169.842913333333,169.912461666667,169.75956,1698679770000,923.583333333333,168.677796069646,169.264055153526,56.4522455408985,166.508267955654,168.313678333124,170.119088710594,0.428768551805443,-0.346357697354993,-0.556807588372288
-6.3065659147002e-05,"2023-10-30 16:00:00",62338.5833333333,169.52922,169.532306666667,169.521615,169.586516666667,169.472445,1698683370000,751.483333333333,168.754506881497,169.273253719471,54.1454702503985,166.701273053644,168.443560502436,170.185847951228,0.42599235092582,-0.306455288461749,-0.50673712839018
0.000101713715116785,"2023-10-30 17:00:00",74164.0166666667,169.803373333333,169.790278333333,169.807548333333,169.861201666667,169.741606666667,1698686970000,854.833333333333,168.850237922573,169.292335669966,55.8319379460784,166.947290851566,168.592343284775,170.237395717984,0.421877794532526,-0.261144573169259,-0.457618617345996
